address,namespace,category,blockchain
0x7b7f0e4ed559b2394ea8265ec1fc2f1f8112945a,gnosis_safe,multisig,ethereum
0x8b3f33234abd88493c0cd28de33d583b70bede35,lido_dao_insurance_fund,insurance,ethereum
0x997d1ed51ff7389883913311810176cbdbd5d1d5,gnosis_safe,multisig,ethereum
0x1da05bce1edd2369cddcb35e747859ef6a675010,gnosis_safe,multisig,ethereum
0x8cc2af700d686e7e21135681511992c972dbd8ea,instadapp,defi_aggr,ethereum
0x5add8a02141bf53a7c5bc6ad5483ca17552e9c52,gnosis_safe,multisig,ethereum
0x82d24dd5041a3eb942cca68b319f1fda9eb0c604,asymetrix,yield,ethereum
0xcde525bd723090284ee2f958c729d83cf117aff9,TBD,TBD,TBD
0x0632dcc37b1fabf2cad20538a5390d23c830962e,request_network,multisig,ethereum
0xac665a44d46194eb9826d6f93fb5cc93bc2654b4,proxy_multisig,multisig,ethereum
0x7be29fddb841584468fd5dc15bb7ab0b45a2bf4f,proxy_multisig,multisig,ethereum
0x5f34c530ffcc091bfb7228b20892612f79361c34,nexo,treasury,ethereum
0x57823baebaa86724839902e0d8efab7e0cfb31b0,gnosis_safe,multisig,ethereum
0x75a03ec24bf95f68a749d833a2efde50db7a6192,proxy_multisig,multisig,ethereum
0xe8bfdf8f47b35418c73af2a2bc4d0d12488e93c5,proxy_multisig,multisig,ethereum
0x8ee03eea321b87d7ee8e9e25220ab056afe3cd6a,guildFi,multisig,ethereum
0x570154c8c9f8cb35dc454f1cde33dc8fe30ecd63,gnosis_safe,multisig,ethereum
0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,proxy_multisig,multisig,ethereum
0x4d9629e80118082b939e3d59e69c82a2ec08b4d5,tribe_redeemer,?others,ethereum
0x86fb84e92c1eedc245987d28a42e123202bd6701,enzyme_finance,defi_aggr,ethereum
0xf554e20a695ea338a126a3a7b5870f1f67253b01,TBD,TBD,TBD
0xb1a32fc9f9d8b2cf86c068cae13108809547ef71,TBD,TBD,TBD
0x21e27a5e5513d6e65c4f830167390997aa84843a,curve_steth_ng_f,liquidity_pool,ethereum
0x120fa5738751b275aed7f7b46b98beb38679e093,yearn,yield,ethereum
0xcafea112db32436c2390f5ec988f3adb96870627,nexus_mutual,insurance,ethereum
0x3e40d73eb977dc6a537af587d48316fee66e9c8c,lido_treasury,lido_treasury,ethereum
0x43dffbf34c06eaf9cd1f9b4c6848b0f1891434b3,nexo,treasury,ethereum
0xfb633f47a84a1450ee0413f2c32dc1772ccaea3e,aragon_tresaury,treasury,ethereum
0xb671e841a8e6db528358ed385983892552ef422f,gnosis_safe,multisig,ethereum
0x93c4b944d05dfe6df7645a86cd2206016c51564d,eigenlayer,restaking,ethereum
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,liquidity_pool,ethereum
0x97de57ec338ab5d51557da3434828c5dbfada371,lybra_eusd,lending,ethereum
