,minted_token_address,minted_token,main_token_address,main_token,token_order,project,chain,Unnamed: 7
0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,0x00,eth,0.0,lido,ethereum,TBD
1,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wsteth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,0.0,lido,ethereum,TBD
2,0x06325440d014e39736583c165c2963ba99faf14e,stecrv,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,curve,ethereum,convex
3,0x182b723a58739a9c974cfdb385ceadb237453c28,stecrv_gauge,0x06325440d014e39736583c165c2963ba99faf14e,stecrv,2.0,curve,ethereum,TBD
4,0x828b154032950c8ff7cf8085d841723db2696056,stetheth_c_f,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,curve,ethereum,TBD
5,0xf668e6d326945d499e5b35e7cd2e82acfbcfe6f0,stetheth_c_f_gauge,0x828b154032950c8ff7cf8085d841723db2696056,stetheth_c_f,2.0,curve,ethereum,TBD
6,0x5faf6a2d186448dfa667c51cb3d695c7a6e52d8e,yvCurve_steth_weth,0x828b154032950c8ff7cf8085d841723db2696056,stetheth_c_f,2.0,yearn,ethereum,TBD
7,0xdCD90C7f6324cfa40d7169ef80b12031770B4325,yvCurve_stETH,0x06325440d014e39736583c165c2963ba99faf14e,stecrv,2.0,yearn,ethereum,TBD
8,0x447ddd4960d9fdbf6af9a790560d0af76795cb08,rethwsteth_f,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,curve,ethereum,TBD
9,0x8ad7e0e6edc61bc48ca0dd07f9021c249044ed30,reth_wsteth_f_gauge,0x447ddd4960d9fdbf6af9a790560d0af76795cb08,rethwsteth_f,2.0,curve,ethereum,TBD
10,0xc27bfe32e0a934a12681c1b35acf0dba0e7460ba,fstecrv,0x06325440d014e39736583c165c2963ba99faf14e,stecrv,2.0,farmstecrv,ethereum,TBD
11,0x1982b2f5814301d4e9a8b0201555376e62f82428,asteth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,aave,ethereum,TBD
12,0x0B925eD163218f6662a35e0f0371Ac234f9E9371,aEthwstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,aave_v3,ethereum,TBD
13,0xC96113eED8cAB59cD8A66813bCB0cEb29F06D2e4,variableDebtEthwstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,aave_v3,ethereum,TBD
14,0xc383a3833a87009fd9597f8184979af5edfad019,iETH (ies) ,0x1982b2f5814301d4e9a8b0201555376e62f82428,asteth,2.0,instadapp,ethereum,TBD
15,0x1f629794b34ffb3b29ff206be5478a52678b47ae,1inch_lp,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,1inch,ethereum,TBD
16,0x53773e034d9784153471813dacaff53dbbb78e8c,rsteth_theta,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,ribbon,ethereum,TBD
17,0x4e079dca26a4fe2586928c1319b20b1bf9f9be72,rsteth_theta_gauge,0x53773e034d9784153471813dacaff53dbbb78e8c,rsteth_theta,2.0,ribbon,ethereum,TBD
18,0xce5513474e077f5336cf1b33c1347fdd8d48ae8c,rearn_steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,ribbon,ethereum,TBD
19,0xAd4dBd3be46f7BDaB82702b581b1d4C5f584741a,rearn_steth_gauge,0xce5513474e077f5336cf1b33c1347fdd8d48ae8c,rearn_steth,2.0,ribbon,ethereum,TBD
20,0xc5578194d457dcce3f272538d1ad52c68d1ce849,SLP,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,SushiSwap,ethereum,TBD
21,0x7259ee19d6b5e755e7c65cecfd2466c09e251185,fwsteth_8,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,feirari,ethereum,TBD
22,0xbc10c4f7b9fe0b305e8639b04c536633a3db7065,sdstecrv,0x06325440d014e39736583c165c2963ba99faf14e,stecrv,2.0,StakeDAO,ethereum,TBD
23,0x4028daac072e492d34a3afdbef0ba7e35d8b55c4,steth_eth ,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,steth,1.0,uni_v2,ethereum,TBD
24,0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,iwsteth,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,dForce,ethereum,TBD
25,0x49da42a1eca4ac6ca0c6943d9e5dc64e4641e0e3,fwsteth_146,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wsteth,1.0,tribe,ethereum,TBD
